ID,tipo,PRO_COM,NOME_COM,NOME_PRO,NOME_REG,stato,Categoria,Sottocategoria,Ente destinatario,Dettaglio bene,Decreto destinazione,SourcePageURL
1,bene immobile,15019,Bernate Ticino,MILANO,LOMBARDIA,In gestione,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1
2,bene immobile,15019,Bernate Ticino,MILANO,LOMBARDIA,In gestione,Unità immobiliare per uso di abitazione e assimilabile,Abitazione indipendente,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1
3,bene immobile,15019,Bernate Ticino,MILANO,LOMBARDIA,In gestione,Terreno,Terreno agricolo,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1
4,bene immobile,15019,Bernate Ticino,MILANO,LOMBARDIA,In gestione,Terreno,Terreno agricolo,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1
5,bene immobile,15019,Bernate Ticino,MILANO,LOMBARDIA,In gestione,Terreno,Terreno agricolo,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=3&provincia=13&comune=1683&tipo=0&stato=1
6,bene immobile,80013,Bova Marina,REGGIO DI CALABRIA,CALABRIA,In gestione,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1
7,bene immobile,80013,Bova Marina,REGGIO DI CALABRIA,CALABRIA,In gestione,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1
8,bene immobile,80013,Bova Marina,REGGIO DI CALABRIA,CALABRIA,In gestione,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1
9,bene immobile,80013,Bova Marina,REGGIO DI CALABRIA,CALABRIA,In gestione,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1
10,bene immobile,80013,Bova Marina,REGGIO DI CALABRIA,CALABRIA,In gestione,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1
11,bene immobile,80013,Bova Marina,REGGIO DI CALABRIA,CALABRIA,In gestione,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,no data,no data,no data,http://www.benisequestraticonfiscati.it/Joomla/index.php?option=com_content&view=article&button1=Cerca&id=512&Itemid=27&regione=18&provincia=88&comune=7174&tipo=0&stato=1
